QuantityX	Name	Edition	Foil	Price	List name
1x	Citadel Siege	Fate Reforged	Foil	$0.00	Rares
1x	Control Magic	Foreign Black Border		$0.00	Grixis colors
1x	Drain Life	Foreign Black Border		$0.00	Baldurs gate rares
1x	Drudge Skeletons	Summer Magic / Edgar		$0.00	Old cards
1x	Dwarven Warriors	Foreign Black Border		$0.00	Old cards
2x	Firebreathing	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Fissure	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Flashfires	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Flight	Foreign Black Border		$0.00	Old cards
1x	Fog	Summer Magic / Edgar		$0.00	Old cards
1x	Frontier Siege	Fate Reforged	Foil	$0.00	Zaxara
1x	Frozen Shade	Foreign Black Border		$0.00	Old cards
1x	Giant Strength	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Giant Tortoise	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Glorious Anthem	Japan Junior Tournament	Foil	$0.00	Andy's new cards
1x	Grapeshot Catapult	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Gray Ogre	Foreign Black Border		$0.00	Old cards
1x	Healing Salve	Foreign Black Border		$0.00	Old cards
1x	Howl from Beyond	Summer Magic / Edgar		$0.00	Old cards
1x	Jump	Foreign Black Border		$0.00	Old cards
1x	Lightning Bolt	Foreign Black Border		$0.00	Old cards
1x	Marsh Gas	Fourth Edition Foreign Black Border		$0.00	Old cards
2x	Murk Dwellers	Introductory Two-Player Set		$0.00	Old cards
1x	Paralyze	Foreign Black Border		$0.00	Old cards
1x	Pearled Unicorn	Foreign Black Border		$0.00	Old cards
1x	Pit Scorpion	Renaissance		$0.00	Old cards
1x	Plains	Salvat 2011		$0.00	Vish Kal
1x	Pradesh Gypsies	Fourth Edition		$0.00	Old cards
1x	Red Elemental Blast	Foreign Black Border		$0.00	Old cards
1x	Regeneration	Foreign Black Border		$0.00	Old cards
1x	Rip-Clan Crasher	Salvat 2011		$0.00	Ezuri
1x	Scathe Zombies	Foreign Black Border		$0.00	Old cards
1x	Shrieking Drake	Media Inserts		$0.00	Chulane
1x	Siren's Call	Summer Magic / Edgar		$0.00	Andy's new cards
1x	Stream of Life	Foreign Black Border		$0.00	Old cards
1x	Tempest Efreet	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Tunnel	Foreign Black Border		$0.00	Old cards
1x	Unholy Strength	Foreign Black Border		$0.00	Old cards
1x	Wall of Dust	Fourth Edition Foreign Black Border		$0.00	Old cards
1x	Weakness	Foreign Black Border		$0.00	Old cards
1x	Wild Growth	Foreign Black Border		$0.00	Old cards
1x	Forgehammer Centurion	Phyrexia: All Will Be One		$0.10	New phyrexia
1x	Ironhoof Boar	Kamigawa: Neon Dynasty		$0.10	Osgir others
1x	Island	Kaladesh		$0.10	Niv
1x	Scrapyard Steelbreaker	Kamigawa: Neon Dynasty		$0.10	Osgir others
1x	Kuldotha Cackler	Phyrexia: All Will Be One		$0.11	New phyrexia
1x	Repel the Vile	Kamigawa: Neon Dynasty		$0.12	Kamigawa and innistrad
1x	Blood Servitor	Innistrad: Crimson Vow		$0.13	Osgir others
1x	Lens Flare	Modern Horizons 2		$0.13	Osgir
1x	Plummet	Adventures in the Forgotten Realms		$0.14	April 2023
1x	Ripscale Predator	Commander Legends		$0.14	Red uncommons
2x	Alloy Animist	The Brothers' War		$0.15	April 2023
1x	Arcbound Prototype	Modern Horizons 2		$0.15	Osgir others
2x	Arcbound Slasher	Modern Horizons 2		$0.15	Osgir others
1x	Aron, Benalia's Ruin	Dominaria United		$0.15	April 2023
1x	Balduvian Atrocity	Dominaria United		$0.15	April 2023
1x	Ballroom Brawlers	Streets of New Capenna		$0.15	B/W Commander randoms
1x	Ballroom Brawlers	Streets of New Capenna		$0.15	Baldurs gate uncommons
2x	Ballroom Brawlers	Streets of New Capenna		$0.15	White uncommons
1x	Bladebrand	Commander Legends		$0.15	B/W Commander randoms
1x	Bladed Ambassador	Phyrexia: All Will Be One		$0.15	April 2023
1x	Bortuk Bonerattle	Dominaria United		$0.15	April 2023
1x	Bronze Cudgels	Kamigawa: Neon Dynasty		$0.15	Baldurs gate uncommons
1x	Bronze Cudgels	Kamigawa: Neon Dynasty		$0.15	Foil rares and uncommons
1x	Bronze Cudgels	Kamigawa: Neon Dynasty		$0.15	Osgir others
5x	Cement Shoes	Streets of New Capenna		$0.15	Colorless uncommmons
1x	Chandra's Pyreling	Jumpstart 2022		$0.15	April 2023
1x	Charforger	Phyrexia: All Will Be One		$0.15	April 2023
1x	Choking Miasma	Dominaria United		$0.15	April 2023
1x	Cleaving Skyrider	Dominaria United		$0.15	April 2023
1x	Coalition Skyknight	Dominaria United		$0.15	April 2023
1x	Crypt Lurker	Core Set 2021		$0.15	Grixis colors
1x	Dawnhart Wardens	Innistrad: Midnight Hunt		$0.15	Baldurs gate uncommons
1x	Dawnhart Wardens	Innistrad: Midnight Hunt		$0.15	Kamigawa and innistrad
1x	Djinn of the Fountain	Dominaria United		$0.15	April 2023
1x	Dragon Whelp	Dominaria United		$0.15	April 2023
1x	Elvish Hydromancer	Dominaria United		$0.15	April 2023
1x	Excavated Wall	Strixhaven: School of Mages		$0.15	Osgir others
1x	Exhilarating Elocution	Strixhaven: School of Mages		$0.15	B/W Commander randoms
1x	Feed the Infection	Phyrexia: All Will Be One		$0.15	April 2023
1x	Flame Discharge	Kamigawa: Neon Dynasty		$0.15	Baldurs gate uncommons
1x	Foundry Helix	Modern Horizons 2		$0.15	Osgir
1x	Furnace Punisher	Phyrexia: All Will Be One		$0.15	April 2023
1x	Futurist Operative	Kamigawa: Neon Dynasty		$0.15	Baldurs gate uncommons
1x	Gaea's Courser	The Brothers' War		$0.15	April 2023
1x	Galestrike	Commander Legends		$0.15	Blue uncommons
1x	Historian's Wisdom	Kamigawa: Neon Dynasty		$0.15	Baldurs gate uncommons
2x	Ichorplate Golem	Phyrexia: All Will Be One		$0.15	April 2023
1x	Island	Throne of Eldraine		$0.15	Chulane
1x	Join Forces	Dominaria United		$0.15	April 2023
1x	Lightning Spear	Modern Horizons 2		$0.15	Osgir others
1x	Mage Hunters' Onslaught	Strixhaven: School of Mages		$0.15	B/W Commander randoms
1x	Marble Gargoyle	Modern Horizons 2		$0.15	Osgir others
1x	Mimic	Adventures in the Forgotten Realms		$0.15	Osgir others
1x	Nahiri's Sacrifice	Phyrexia: All Will Be One		$0.15	April 2023
1x	Owlin Shieldmage	Strixhaven: School of Mages		$0.15	B/W Commander randoms
1x	Plains	Strixhaven: School of Mages		$0.15	Breena
1x	Planar Ally	Adventures in the Forgotten Realms		$0.15	Foil rares and uncommons
2x	Pyrrhic Blast	The Brothers' War		$0.15	April 2023
1x	Radha, Coalition Warlord	Dominaria United		$0.15	April 2023
1x	Ravenous Necrotitan	Phyrexia: All Will Be One		$0.15	New phyrexia
1x	Reito Sentinel	Kamigawa: Neon Dynasty		$0.15	Baldurs gate uncommons
1x	Reptilian Reflection	Jumpstart 2022		$0.15	April 2023
1x	Ribskiff	Phyrexia: All Will Be One		$0.15	April 2023
1x	Riveteers Decoy	Streets of New Capenna		$0.15	B/W Commander randoms
1x	Riveteers Decoy	Streets of New Capenna		$0.15	Baldurs gate uncommons
1x	Riveteers Decoy	Streets of New Capenna		$0.15	Green uncommons
1x	Rooting Moloch	Jumpstart 2022		$0.15	April 2023
1x	Runaway Trash-Bot	Kamigawa: Neon Dynasty		$0.15	Baldurs gate uncommons
1x	Runaway Trash-Bot	Kamigawa: Neon Dynasty		$0.15	Osgir others
1x	Sanitarium Skeleton	Jumpstart		$0.15	Vish Kal
1x	Season of Renewal	Kamigawa: Neon Dynasty		$0.15	Chulane others
1x	Silverquill Pledgemage	Strixhaven: School of Mages		$0.15	B/W Commander randoms
1x	Sky Crier	Streets of New Capenna		$0.15	B/W Commander randoms
2x	Skyraker Giant	Commander Legends		$0.15	Red uncommons
1x	Skyscythe Engulfer	Phyrexia: All Will Be One		$0.15	New phyrexia
1x	Slimefoot's Survey	Dominaria United		$0.15	April 2023
1x	Specter of the Fens	Strixhaven: School of Mages		$0.15	B/W Commander randoms
1x	Spiteful Squad	Strixhaven: School of Mages		$0.15	B/W Commander randoms
1x	Stone Quarry	Ixalan		$0.15	April 2023
2x	Strength of the Coalition	Dominaria United		$0.15	April 2023
1x	Thopter Architect	The Brothers' War		$0.15	April 2023
1x	Arcbound Tracker	Modern Horizons 2		$0.16	Osgir others
1x	Arrester's Zeal	Ravnica Allegiance		$0.16	B/W Commander randoms
1x	Atraxa's Skitterfang	Phyrexia: All Will Be One		$0.16	April 2023
1x	Battlewing Mystic	Dominaria United		$0.16	April 2023
1x	Blight Pile	Dominaria United		$0.16	April 2023
1x	Daybreak Charger	Core Set 2021		$0.16	B/W Commander randoms
1x	Gust Walker	Amonkhet		$0.16	Foil rares and uncommons
1x	Heavyweight Demolisher	The Brothers' War		$0.16	April 2023
2x	Hurloon Battle Hymn	Dominaria United		$0.16	April 2023
2x	Loran, Disciple of History	The Brothers' War		$0.16	New phyrexia
1x	Vodalian Arcanist	Core Set 2021		$0.16	Niv
1x	Awakened Awareness	Kamigawa: Neon Dynasty		$0.17	Baldurs gate uncommons
1x	Awakened Awareness	Kamigawa: Neon Dynasty		$0.17	Kamigawa and innistrad
1x	Battlefield Butcher	The Brothers' War		$0.17	April 2023
4x	Hungry Flames	Jumpstart		$0.17	Red uncommons
1x	Kaleidoscorch	Modern Horizons 2		$0.17	Red uncommons
1x	Mask of the Jadecrafter	The Brothers' War		$0.17	April 2023
1x	Mountain	Strixhaven: School of Mages		$0.17	Osgir
1x	Rulik Mons, Warren Chief	Dominaria United		$0.17	April 2023
1x	Skilled Animator	Jumpstart 2022		$0.17	April 2023
2x	The Fall of Lord Konda //  // Fragment of Konda	Kamigawa: Neon Dynasty		$0.17	Baldurs gate uncommons
2x	The Fall of Lord Konda //  // Fragment of Konda	Kamigawa: Neon Dynasty		$0.17	Kamigawa and innistrad
2x	Vizkopa Vampire	Ravnica Allegiance		$0.17	B/W Commander randoms
1x	When We Were Young	Kamigawa: Neon Dynasty		$0.17	Baldurs gate uncommons
1x	Behold the Unspeakable //  // Vision of the Unspeakable	Kamigawa: Neon Dynasty		$0.18	Baldurs gate uncommons
1x	Blood Hypnotist	Innistrad: Crimson Vow		$0.18	April 2023
1x	Boarded Window	Innistrad: Crimson Vow		$0.18	Colorless uncommmons
1x	Brazen Upstart	Streets of New Capenna		$0.18	B/W Commander randoms
1x	Brazen Upstart	Streets of New Capenna		$0.18	Baldurs gate uncommons
2x	Brazen Upstart	Streets of New Capenna		$0.18	Multicolor uncommons
2x	Cephalopod Sentry	Phyrexia: All Will Be One		$0.18	April 2023
1x	Crew Captain	Streets of New Capenna		$0.18	B/W Commander randoms
2x	Crew Captain	Streets of New Capenna		$0.18	Baldurs gate uncommons
1x	Crew Captain	Streets of New Capenna		$0.18	New capenna, strixhaven rares uncommons
1x	Deepwood Denizen	Modern Horizons 2		$0.18	Ezuri
1x	Dragon Whelp	Dominaria Remastered		$0.18	April 2023
1x	Frenzied Devils	Innistrad: Crimson Vow		$0.18	April 2023
2x	Frenzied Devils	Innistrad: Crimson Vow		$0.18	Baldurs gate uncommons
1x	Frenzied Devils	Innistrad: Crimson Vow		$0.18	New capenna, strixhaven rares uncommons
1x	Frenzied Devils	Innistrad: Crimson Vow		$0.18	Red uncommons
2x	Glinting Creeper	Modern Horizons 2		$0.18	Green uncommons
1x	Grisly Sigil	Streets of New Capenna		$0.18	B/W Commander randoms
1x	Grisly Sigil	Streets of New Capenna		$0.18	Baldurs gate uncommons
1x	Hardy Outlander	Commander Legends: Battle for Baldur's Gate		$0.18	Baldurs gate
1x	Hardy Outlander	Commander Legends: Battle for Baldur's Gate		$0.18	Baldurs gate uncommons
1x	Loathsome Troll	Adventures in the Forgotten Realms		$0.18	Green uncommons
1x	Mountain	Ikoria: Lair of Behemoths		$0.18	Grixis colors
1x	Rally Maneuver	Adventures in the Forgotten Realms		$0.18	White uncommons
1x	Rogues' Gallery	Streets of New Capenna		$0.18	B/W Commander randoms
1x	Rogues' Gallery	Streets of New Capenna		$0.18	Baldurs gate uncommons
1x	Rogues' Gallery	Streets of New Capenna		$0.18	Black uncommons
1x	Scatter Ray	The Brothers' War		$0.18	New phyrexia
2x	Security Rhox	Streets of New Capenna		$0.18	Multicolor uncommons
1x	Short Sword	Dominaria		$0.18	B/W Commander randoms
1x	Steel Dromedary	Modern Horizons 2		$0.18	Baldurs gate uncommons
1x	Steel Dromedary	Modern Horizons 2		$0.18	Colorless uncommmons
1x	Steel Dromedary	Modern Horizons 2		$0.18	Osgir others
1x	Sudden Insight	Adventures in the Forgotten Realms		$0.18	April 2023
1x	Sudden Insight	Adventures in the Forgotten Realms		$0.18	Blue uncommons
1x	Swamp	Theros		$0.18	Grixis colors
2x	Syndicate Infiltrator	Streets of New Capenna		$0.18	Baldurs gate uncommons
1x	Syndicate Infiltrator	Streets of New Capenna		$0.18	Multicolor uncommons
2x	Syndicate Infiltrator	Streets of New Capenna		$0.18	New capenna, strixhaven rares uncommons
1x	Take to the Streets	Streets of New Capenna		$0.18	B/W Commander randoms
1x	Take to the Streets	Streets of New Capenna		$0.18	Baldurs gate uncommons
2x	Take to the Streets	Streets of New Capenna		$0.18	Green uncommons
4x	Tiger-Tribe Hunter	Adventures in the Forgotten Realms		$0.18	Red uncommons
1x	Unctus's Retrofitter	Phyrexia: All Will Be One		$0.18	April 2023
3x	Voice of the Vermin	Streets of New Capenna		$0.18	Green uncommons
1x	Wingshield Agent	Streets of New Capenna		$0.18	B/W Commander randoms
1x	Wingshield Agent	Streets of New Capenna		$0.18	Baldurs gate uncommons
2x	Wingshield Agent	Streets of New Capenna		$0.18	Blue uncommons
1x	Arc Spitter	Streets of New Capenna		$0.19	B/W Commander randoms
1x	Arc Spitter	Streets of New Capenna		$0.19	Baldurs gate uncommons
1x	Arc Spitter	Streets of New Capenna		$0.19	Colorless uncommmons
1x	Arm the Cathars	Innistrad: Crimson Vow		$0.19	April 2023
1x	Arm the Cathars	Innistrad: Crimson Vow		$0.19	White uncommons
1x	Cancel	Amonkhet		$0.19	Grixis colors
1x	Caprichrome	Modern Horizons 2		$0.19	Baldurs gate uncommons
1x	Caprichrome	Modern Horizons 2		$0.19	Osgir others
1x	Caprichrome	Modern Horizons 2		$0.19	White uncommons
1x	Charging Griffin	Magic Origins		$0.19	Foil rares and uncommons
1x	Claustrophobia	Magic Origins		$0.19	Grixis colors
1x	Cloaked Cadet	Innistrad: Crimson Vow		$0.19	Baldurs gate uncommons
2x	Cloaked Cadet	Innistrad: Crimson Vow		$0.19	Green uncommons
1x	Cloaked Cadet	Innistrad: Crimson Vow		$0.19	New capenna, strixhaven rares uncommons
1x	Criminal Past	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate
1x	Criminal Past	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate uncommons
1x	Dead Revels	Ravnica Allegiance		$0.19	B/W Commander randoms
1x	Diver Skaab	Innistrad: Crimson Vow		$0.19	April 2023
1x	Diver Skaab	Innistrad: Crimson Vow		$0.19	Baldurs gate uncommons
1x	Diver Skaab	Innistrad: Crimson Vow		$0.19	Blue uncommons
1x	Diver Skaab	Innistrad: Crimson Vow		$0.19	New capenna, strixhaven rares uncommons
1x	Dragonloft Idol	Jumpstart		$0.19	Colorless uncommmons
1x	Dungeon Delver	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate
2x	Dungeon Delver	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate uncommons
1x	Dusk Mangler	Commander Legends: Battle for Baldur's Gate		$0.19	Captain ngathrod
1x	Dutiful Attendant	Jumpstart		$0.19	B/W Commander randoms
1x	Dutiful Attendant	Jumpstart		$0.19	Grixis colors
1x	Ellyn Harbreeze, Busybody	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate
3x	Ellyn Harbreeze, Busybody	Commander Legends: Battle for Baldur's Gate		$0.19	Baldurs gate uncommons
1x	Felhide Brawler	Born of the Gods		$0.19	Foil rares and uncommons
