"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","A Little Chat","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","47","False","False","0.04"
"6","6","Abandon Reason","emn","Near Mint","English","","","2023-10-26 21:38:17.963000","115","False","False","0.11"
"2","2","Abandoned Sarcophagus","c20","Near Mint","English","","","2023-10-26 21:38:17.963000","236","False","False","0.07"
"2","2","Abdel Adrian, Gorion's Ward","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.15"
"2","2","Aberrant Mind Sorcerer","afr","Near Mint","English","","","2023-10-26 21:38:17.963000","44","False","False","0.03"
"2","2","Abiding Grace","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","1","False","False","0.11"
"2","2","Aboleth Spawn","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","662","False","False","0.89"
"2","2","Abrade","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","203","False","False","0.15"
"1","1","Absorb","dmr","Near Mint","English","","","2023-10-26 21:38:17.963000","186","False","False","0.19"
"2","2","Abyssal Specter","mm3","Near Mint","English","","","2023-10-26 21:38:17.963000","59","False","False","0.09"
"2","2","Abzan Battle Priest","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","164","False","False","0.23"
"2","2","Abzan Beastmaster","frf","Near Mint","English","","","2023-10-26 21:38:17.963000","119","False","False","0.17"
"3","3","Abzan Charm","dmc","Near Mint","English","","","2023-10-26 21:38:17.963000","138","False","False","0.09"
"1","1","Abzan Falconer","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","165","False","False","0.12"
"1","1","Abzan Kin-Guard","frf","Near Mint","English","","","2023-10-26 21:38:17.963000","120","False","False","0.06"
"1","1","Accursed Horde","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","56","False","False","0.05"
"1","1","Acidic Slime","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","270","False","False","0.13"
"4","4","Acolyte of Bahamut","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","212","False","False","0.09"
"1","1","Acolyte's Reward","bng","Near Mint","English","","","2023-10-26 21:38:17.963000","1","False","False","0.07"
"2","2","Acquisitions Expert","znr","Near Mint","English","","","2023-10-26 21:38:17.963000","89","False","False","0.13"
"3","3","Adanto Vanguard","xln","Near Mint","English","","","2023-10-26 21:38:17.963000","1","False","False","0.23"
"1","1","Adeline, Resplendent Cathar","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","167","False","False","9.09"
"6","6","Admiral Beckett Brass","xln","Near Mint","English","","","2023-10-26 21:38:17.963000","217","False","False","1.15"
"1","1","Adorned Pouncer","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.54"
"1","1","Adult Gold Dragon","afr","Near Mint","English","","","2023-10-26 21:38:17.963000","216","False","False","0.26"
"2","2","Aegis of the Gods","jou","Near Mint","English","","","2023-10-26 21:38:17.963000","1","False","False","1.32"
"1","1","Aerie Mystics","cma","Near Mint","English","","","2023-10-26 21:38:17.963000","1","False","False","0.10"
"1","1","Aeronaut Admiral","nec","Near Mint","English","","","2023-10-26 21:38:17.963000","79","False","False","0.11"
"2","2","Aether Channeler","dmu","Near Mint","English","","","2023-10-26 21:38:17.963000","42","False","False","0.38"
"3","3","Aetherize","znc","Near Mint","English","","","2023-10-26 21:38:17.963000","23","False","False","0.86"
